daan6-hai6,#,gwo3,zo2,loeng5,jat6,#,lou5-lou5-si1,hou2,ming4-hin2,ji5-ging1,m4-gei3-dak1,zo2,keoi5,go3,meng2,#,dong1,keoi5,soeng2,giu3,can4-hoi2-kei4,daap3,man6-tai4,ge3,si4-hau6,#,keoi5,waa6,dou3,zeoi2,bin1,jau6,gong2,m4,ceot1-lei4,ge3,san4-cing4,ji5-ging1,ceot1-maai6,zo2,keoi5,#,jyu1-si6,lou5-lou5-si1,jau6,wui5,zong1-mou4-zok3-joeng6,gam2,heoi3,wan2,haa5,go3,zo6-wai2-biu2,#,daan6,jau6,wan2,m4-dou2,wo3,#,zeoi3-hau6,keoi5,wai4-jau5,giu3,ling6-jat1,wai2,tung4-hok6,wong4-zing6-ji4,daap3,man6-tai4,#,ji4,wong4-zing6-ji4,gan1-bun2,mou5,geoi2,gwo3,sau2,#,tung4-jat1,jat6,ge3,aan3-zau3,#,dai6-ji6,zit3,zung1-man4,fo3,#,lou5-lou5-si1,sam6-zi3-fu4,ji5-ging1,m4-gei3-dak1,saai3,soeng6-zau3,faat3-sang1,ge3,si6,#,zik6-zip3,giu3,can4-hoi2-kei4,zou6,#,go2,wai2,neoi5,tung4-hok6,#,#,can4-hoi2-kei4,m4-hou2-ji3-si1,hai2,cyun4,baan1,min6-cin4,tai4-seng2,lou5-si1,keoi5,zi6-gei2,go3,meng2,#,daan6,keoi5,hai2,go3,sam1,dou6,hai6-gam2,nam2,#,jiu3,nam2,dou2,go3,fong1-faat3,giu3,lou5-lou5-si1,gei3-zyu6,keoi5,go3,meng2,#,,,,,,,,,,,,,,,,,,,,,,,,,
but,#,pass,-en,two,day,#,Mr. Lo,very,obvious,already,forget,-en,she,(measure),name,#,when,he,want,to call,Chan Hoi Kei,to answer,question,(linker),time,#,he,say,to,mouth,side,again,say,cannot,out,(linker),facial expression,already,betray,-en,he,#,so,Mr. Lo,again,will,pretending,-ly,to go,find,a bit,(measure),sitting plan,#,but,again,find,cannot,(particle),#,in the end,he,only,call,another,(measure),schoolmate,Wong Ching Yi,to answer,question,#,and,Wong Ching Yi,in the first place,don't have,raise,-ed,hand,#,same,day,(linker),afternoon,#,second,session,Chinese,lesson,#,Mr. Lo,even,already,forget,all,morning,happen,(linker),matter,#,directly,call,Chan Hoi Kei,to be,#,that,(measure),female,schoolmate,#,#,Chan Hoi Kei,feel embarassed,at,whole,class,in front of,to remind,teacher,she,oneself,(measure),name,#,but,she,at,(measure),heart,there,keep doing,think,#,have to,think,(suffix),(measure),method,to ask,Mr. Lo,memorise,she,(measure),name,#,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
返,到,屋企,，,佢,攤開,寫,俾,魯老師,嘅,周記,簿,，,用,咗,二,百,字,寫,咗,佢,嘅,小小,心願,，,仲,表明,呢個,只係,一個,好,合理,嘅,要求,，,更,喺,文章,下低,貼,咗,一,幅,佢,嘅,近,照,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faan1,dou3,uk1-kei2,#,keoi5,taan1-hoi1,se2,bei2,lou5-lou5-si1,ge3,zau1-gei3,bou2,#,jung6,zo2,ji6,baak3,zi6,se2,zo2,keoi5,ge3,siu2-siu2,sam1-jyun6,#,zung6,biu2-ming4,ni1-go3,zi2-hai6,jat1-go3,hou2,hap6-lei5,ge3,jiu1-kau4,#,gang3,hai2,man4-zoeng1,haa6-dai1,tip3,zo2,jat1,fuk1,keoi5,ge3,gan6,ziu3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return,to,home,#,she,open up,write,to,Mr. Lo,(linker),weekly diary,notebook,#,use,-en,two,hundred,word,to write,-en,she,’s,little,wish,#,even,state clearly,this,just only,one (measure),very,resonable,(linker),request,#,even more,at,article,bottom,stick,-en,one,(measure),she,’s,recent,photo,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
效果,？,滿意,。,喺,交,咗,周記,簿,嘅,頭,一個,禮拜,，,魯老師,真係,記得,佢,個,名,。,陳凱琪,做,咗,個,小,統計,，,佢,喺,中文,堂,舉手,答,問題,嘅,次數,一個,禮拜,總共,有,四十三,次,，,即係,平均,每,堂,四,點,七,七,七,七,七,無限,個,七,次,。,魯老師,請,佢,答,問題,嘅,次數,有,十,次,，,每,次,都,叫,佢,「,陳凱琪,」,，,準確,無,誤,！,陳凱琪,覺得,好,滿意,。,雖然,，,讀,住,魯老師,喺,周記,簿,裏面,嗰,句,︰,「,名字,有時,不,代表,什麼,」,，,佢,其實,都,唔係,好,明,魯老師,想,講,乜,，,但係,佢,好,有,信心,魯老師,今次,一定,會,將,佢,個,名,記住,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haau6-gwo2,#,mun5-ji3,#,hai2,gaau1,zo2,zau1-gei3,bou2,ge3,tau4,jat1-go3,lai5-baai3,#,lou5-lou5-si1,zan1-hai6,gei3-dak1,keoi5,go3,meng2,#,can4-hoi2-kei4,zou6,zo2,go3,siu2,tung2-gai3,#,keoi5,hai2,zung1-man2,tong4,geoi2-sau2,daap3,man6-tai4,ge3,ci3-sou3,jat1-go3,lai5-baai3,zung2-gung6,jau5,sei3-sap6-saam1,ci3,#,zik1-hai6,ping4-gwan1,mui5,tong4,sei3,dim2,cat1,cat1,cat1,cat1,cat1,mou4-haan6,go3,cat1,ci3,#,lou5-lou5-si1,ceng2,keoi5,daap3,man6-tai4,ge3,ci3-sou3,jau5,sap6,ci3,#,mui5,ci3,dou1,giu3,keoi5,#,can4-hoi2-kei4,#,#,zeon2-kok3,mou4,ng6,#,can4-hoi2-kei4,gok3-dak1,hou2,mun5-ji3,#,seoi1-jin4,#,duk6,zyu6,lou5-lou5-si1,hai2,zau1-gei3,bou2,leoi5-min6,go2,geoi3,#,#,ming4-zi6,jau5-si4,bat1,doi6-biu2,sam6-mo1,#,#,keoi5,kei4-sat6,dou1,m4-hai6,hou2,ming4,lou5-lou5-si1,soeng2,gong2,mat1,#,daan6-hai6,keoi5,hou2,jau5,seon3-sam1,lou5-lou5-si1,gam1-ci3,jat1-ding6,wui5,zoeng1,keoi5,go3,meng2,gei3-zyu6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,#,satisfied,#,at,hand in,-en,weekly diary,notebook,(linker),first,one (measure),week,#,Mr. Lo,really,remember,she,(measure),name,#,Chan Hoi Kei,make,-en,(measure),small,statistics,#,she,at,Chinese,class,raise hand,answer,question,(linker),number of times,one (measure),week,in total,have,forty-three,time,#,that means,average,every,class,four,point,seven,seven,seven,seven,seven,infinite,(measure),seven,time,#,Mr. Lo,ask,she,answer,question,(linker),number of times,have,ten,time,#,every,time,"all, also",call,she,#,Chan Hoi Kei,#,#,accurate,no,mistake,#,Chan Hoi Kei,feel,very,satisfied,#,although,#,read,-ing,Mr. Lo,at,weekly diary,notebook,inside,that,sentence,#,#,name,sometimes,do not,represent,anything,#,#,she,actually,"all, also",is not,very,understand,Mr. Lo,want,to say,what,#,but,she,very,have,confidence,Mr. Lo,this time,surely,will,take,she,(measure),name,memorise,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,，,原來,事情,冇,佢,想像,咁,順利,。,第二,個,禮拜,，,魯老師,已經,唔,再,成日,叫,佢,答,問題,。,可能,魯老師,想,俾,啲,機會,其他,同學,啦,。,始終,一,班,有,咁,多,個,學生,，,老師,都,唔係,每,一個,學生,都,可能,照顧,到,。,呢個,道理,，,小學,五,年級,嘅,陳凱琪,係,明白,嘅,。,不過,，,到,咗,第三,個,禮拜,，,魯老師,已經,完全,唔記得,咗,陳凱琪,個,名,，,淨係,叫,佢,做,「,嗰,位,靚,同學,」,，,搞到,全,班,同學,喺度,笑,佢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,#,jyun4-loi4,si6-cing4,mou5,keoi5,soeng2-zoeng6,gam3,seon6-lei6,#,dai6-ji6,go3,lai5-baai3,#,lou5-lou5-si1,ji5-ging1,m4,zoi3,seng4-jat6,giu3,keoi5,daap3,man6-tai4,#,ho2-nang4,lou5-lou5-si1,soeng2,bei2,di1,gei1-wui6,kei4-taa1,tung4-hok6,laa1,#,ci2-zung1,jat1,baan1,jau5,gam3,do1,go3,hok6-saang1,#,lou5-si1,dou1,m4-hai6,mui5,jat1-go3,hok6-saang1,dou1,ho2-nang4,ziu3-gu3,dou2,#,ni1-go3,dou6-lei5,#,siu2-hok6,ng5,nin4-kap1,ge3,can4-hoi2-kei4,hai6,ming4-baak6,ge3,#,bat1-gwo3,#,dou3,zo2,dai6-saam1,go3,lai5-baai3,#,lou5-lou5-si1,ji5-ging1,jyun4-cyun4,m4-gei3-dak1,zo2,can4-hoi2-kei4,go3,meng2,#,zing6-hai6,giu3,keoi5,zou6,#,go2,wai2,leng3,tung4-hok6,#,#,gaau2-dou3,cyun4,baan1,tung4-hok6,hai2-dou6,siu3,keoi5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,#,it turns out,matter,don't have,she,imagine,so,smooth and successful,#,second,(measure),week,#,Mr. Lo,already,not,again,always,call,she,to answer,question,#,possible,Mr. Lo,want to,give,some,chance,other,schoolmate,(particle),#,after all,one,class,have,so,many,(measure),pupil,#,teacher,"all, also",is not,every,one (measure),pupil,"all, also",possiblely,look after,(suffix),#,this,principle,#,primary school,five,grade,(linker),Chan Hoi Kei,is,understand,(particle),#,however,#,till,-en,third,(measure),week,#,Mr. Lo,already,completely,forget,-en,Chan Hoi Kei,(measure),name,#,only,call,she,to be,#,that,(measure),pretty,schoolmate,#,#,make,whole,class,schoolmate,right here,laugh at,she,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有冇搞錯,！,「,黑鼆鼆,」,已經,唔掂,，,家下,仲要,叫,我,做,「,靚,同學,」,。,救命,啊,！,陳凱琪,於是,又,喺度,動腦筋,，,要,諗,個,辦法,令,呢,位,老,老師,記住,佢,個,名,。,佢,返,到,屋企,用,電腦,造,咗,張,好,精美,嘅,名片,，,仲,特登,用,手提電話,為,自己,自拍,一,張,全身,學生,相,，,加,一,張,半身,嘅,。,全身,嘅,貼,喺,名片,背面,，,半身,嗰,張,就,貼,喺,自己,個,名,隔籬,。,名片,上,三,個,字,好,大,︰,陳凱琪,，,用,咗,四十八,號,字體,，,標楷,字型,。,名,下面,係,佢,嘅,班別,同埋,學號,。,佢,將,名片,拎,去,書局,過膠,，,放,喺,自製,嘅,盒仔,裏面,，,綁,條,絲帶,，,送,俾,魯老師,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5-mou5-gaau2-co3,#,#,haak1-mang1-mang1,#,ji5-ging1,m4-dim6,#,gaa1-haa5,zung6-jiu3,giu3,ngo5,zou6,#,leng3,tung4-hok6,#,#,gau3-meng6,aa3,#,can4-hoi2-kei4,jyu1-si6,jau6,hai2-dou6,dung6-nou5-gan1,#,jiu3,nam2,go3,baan6-faat3,ling6,ni1,wai2,lou5,lou5-si1,gei3-zyu6,keoi5,go3,meng2,#,keoi5,faan1,dou3,uk1-kei2,jung6,din6-nou5,zou6,zo2,zoeng1,hou2,zing1-mei5,ge3,ming4-pin2,#,zung6,dak6-dang1,jung6,sau2-tai4-din6-waa2,wai6,zi6-gei2,zi6-paak3,jat1,zoeng1,cyun4-san1,hok6-saang1,soeng2,#,gaa1,jat,zoeng1,bun3-san1,ge3,#,cyun4-san1,ge3,tip3,hai2,ming4-pin2,bui3-min6,#,bun3-san1,go2,zoeng1,zau6,tip3,hai2,zi6-gei2,go3,meng2,gaak3-lei4,#,ming4-pin2,soeng6,saam1,go3,zi6,hou2,daai6,#,can4-hoi2-kei4,#,jung6,zo2,sei3-sap6-baat3,hou6,zi6-tai2,#,biu1-kaai2,zi6-jing4,#,meng2,haa6-min6,hai6,keoi5,ge3,baan1-bit6,tung4-maai4,hok6-hou6,#,keoi5,zoeng1,ming4-pin2,ling1,heoi3,syu1-guk2,gwo3-gaau1,#,fong3,hai2,zi6-zai3,ge3,hap6-zai2,leoi5-min6,#,bong2,tiu4,si1-daai2,#,sung3,bei2,lou5-lou5-si1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's wrong!,#,#,dark (in colour),#,already,not okay,#,right now,even have to,call,I,to be,#,pretty,schoolmate,#,#,Help!,(particle),#,Chan Hoi Kei,so,again,right here,start thinking,#,have to,think,(measure),way,make,this,(measure),old,teacher,memorise,she,(measure),name,#,she,return,to,home,use,computer,make,-en,(measure),very,fancy,(linker),namecard,#,even,deliberately,use,cell phone,for,oneself,selfie,one,(measure),whole body,pupil,photograph,#,plus,one,(measure),half body,(linker),#,whole body,(linker),paste,at,namecard,back,#,half body,that,(measure),then,paste,at,oneself,(measure),name,next to,#,namecard,above,three,(measure),character,very,big,#,Chan Hoi Kei,#,use,-en,forty-eight,number,font size,#,BiauKai,font,#,name,below,is,she,’s,class,and,class number,#,she,take,namecard,take,to,bookstore,to laminate,#,put,at,DIY,(linker),little box,inside,#,tie,(measure),ribbon,#,send,to,Mr. Lo,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魯老師,笑,住,收,小,禮盒,。,然後,，,每一日,喺,集隊,之前,，,魯老師,都會,走,去,陳凱琪,前面,叫,一,聲,「,陳凱琪,，,早晨,。,」,雖然,玩玩下,突然,有,一,位,肥,老師,無啦啦,同,自己,講,早晨,係,有啲,煩,，,但係,陳凱琪,都會,好,高興,噉,應,一,聲,︰,「,魯老師,，,早晨,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-lou5-si1,siu3,zyu6,sau1,siu2,lai5-haap2,#,jin4-hau6,#,mui5-jat1-jat6,hai2,zaap6-deoi2,zi1-cin4,#,lou5-lou5-si1,dou1-wui5,zau2,heoi3,can4-hoi2-kei4,cin4-min6,giu3,jat1,seng1,#,can4-hoi2-kei4,#,zou2-san4,#,#,seoi1-jin4,waan2-waan2-haa5,dat6-jin4,jau5,jat1,wai2,fei4,lou5-si1,mou4-laa1-laa1,tung4,zi6-gei2,gong2,zou2-san4,hai6,jau5-di1,faan4,#,daan6-hai6,can4-hoi2-kei4,dou1-wui5,hou2,gou1-hing3,gam2,jing3,jat1,seng1,#,#,lou5-lou5-si1,#,zou2-san4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Lo,smiling,-ing,receive,small,gift box,#,then,#,everyday,at,assembly,before,#,Mr. Lo,always will,walk,to,Chan Hoi Kei,front,call,one,sound,#,Chan Hoi Kei,#,good morning,#,#,although,halfway through playing,suddenly,have,one,(measure),fat,teacher,with no apparent reason,to,oneself,say,good morning,is,a bit,annoying,#,but,Chan Hoi Kei,always will,very,happy,-ly,respond,one,sound,#,#,Mr. Lo,#,good morning,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兩個,禮拜,過,咗,，,魯老師,唔記得,陳凱琪,個,名,嘅,跡象,又,出現,喇,！,佢,首先,唔,再,叫,陳凱琪,答,問題,，,跟住,就,叫,佢,「,嗰,位,同學,」,，,淡忘,嘅,情況,同,之前,差唔多,，,不幸,中,嘅,幸運,係,佢,冇,叫,陳凱琪,做,「,靚,同學,」,或者,「,黑鼆鼆,」,或者,「,有,個,酒粒,嗰個,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loeng5-go3,lai5-baai3,gwo3,zo2,#,lou5-lou5-si1,m4-gei3-dak1,can4-hoi2-kei4,go3,meng2,ge3,zik1-zoeng6,jau6,ceot1-jin6,laa3,#,keoi5,sau2-sin1,m4,zoi3,giu3,can4-hoi2-kei4,daap3,man6-tai4,#,gan1-zyu6,zau6,giu3,keoi5,#,go2,wai2,tung4-hok6,#,#,daam6-mong4,ge3,cing4-fong3,tung4,zi1-cin4,caa1-m4-do1,#,bat1-hang6,zung1,ge3,hang6-wan6,hai6,keoi5,mou5,giu3,can4-hoi2-kei4,zou6,#,leng3,tung4-hok6,#,waak6-ze2,#,hak1-mang1-mang1,#,waak6-ze2,#,jau5,go3,zau2-nap1,go2-go3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two,week,pass,-en,#,Mr. Lo,forget,Chan Hoi Kei,(measure),name,(linker),sign,again,appear,(particle),#,he,first of all,not,again,call,Chan Hoi Kei,to answer,question,#,and then,then,call,she,#,that,(measure),schoolmate,#,#,fade from memory,(linker),circumstance,with,before,almost the same,#,unlucky,among,(linker),fortunate,is,he,don't have,call,Chan Hoi Kei,to be,#,pretty,schoolmate,#,or,#,dark (in colour),#,or,#,have,(measure),dimple,that,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陳凱琪,呢,幾,日,，,都,全心全意,喺度,諗,要,點樣,令,魯老師,永遠,記得,佢,個,名,。,哈,，,居然,變,得,好,挑戰,好,好玩,噉,。,比起,佢,最,怕,嘅,數學,科,，,呢,種,挑戰,有趣,得多,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can4-hoi2-kei4,ni1,gei2,jat6,#,dou1,cyun4-sam1-cyun4-ji3,hai2-dou6,nam2,jiu3,dim2-joeng2,ling6,lou5-lou5-si1,wing5-jyun5,gei3-dak1,keoi5,go3,meng2,#,haa1,#,geoi1-jin4,bin3,dak1,hou2,tiu1-zin3,hou2,hou2-waan2,gam2,#,bei2-hei2,keoi5,zeoi3,paa3,ge3,sou3-hok6,fo1,#,ni1,zung2,tiu1-zin3,jau5-ceoi3,dak1-do1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chan Hoi Kei,this,several,day,#,"all, also",wholeheartedly,right here,think,have to,how,make,Mr. Lo,forever,remember,she,(measure),name,#,(laughter),#,unexpectedly,change,(suffix),very,challenging,very,fun to play,in this way,#,comparing to,she,most,afraid of,(linker),mathematics,subject,#,this,kind if,challenge,interesting,far more,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
早會,嘅,時候,，,陳凱琪,又,企,喺,人龍,中,入定,，,專心,喺度,諗,令,魯老師,記住,佢,個,名,嘅,方法,。,然後,，,佢,俾,同學,集體,嘅,交談,聲,帶,返,返嚟,早會,度,。,後,邊,有,人,話,︰,「,都話,魯老師,係,我哋,嘅,校監,嚟,㗎啦,。,」,左面,嘅,就,回應,話,︰,「,原來,係,真,㗎喎,。,」,右邊,隔籬,班,同學,話,︰,「,魯老師,要,走,喇,，,有啲,唔捨得,呀,。,」,陳凱琪,搖,下,個,頭,，,想,將,由,前後左右,傳,嚟,嘅,聲音,隔開,去,，,好好,聽,清楚,魯老師,透過,擴音器,傳,嚟,嘅,説話,。,魯老師,嘅,聲音,比,平時,更,低沉,更,朦朧,︰,「,好,高興,有,機會,同,你哋,一齊,學習,，,我,為,你哋,感到,好,自豪,。,返去,之後,，,我,會,將,我,呢,三,個月,嘅,觀察,寫低,，,研究,一下,對,你哋,嚟講,，,乜嘢,先,算,係,最好,嘅,學習,。,」
zou2-wui2,ge3,si4-hau6,#,can4-hoi2-kei4,jau6,kei5,hai2,jan4-lung4,zung1,jap6-ding6,#,zyun1-sam1,hai2-dou6,nam2,ling6,lou5-lou5-si1,gei3-zyu6,keoi5,go3,meng2,ge3,fong1-faat3,#,jin4-hau6,#,keoi5,bei2,tung4-hok6,zaap6-tai2,ge3,gaau1-taam4,seng1,daai3,faan1,faan1-lei4,zou2-wui2,dou6,#,hau6,bin1,jau5,jan4,waa6,#,#,dou1-waa6,lou5-lou5-si1,hai6,ngo5-dei6,ge3,haau6-gaam1,lei4,gaa3-laa1,#,#,zo2-min6,ge3,zau6,wui4-jing3,waa6,#,#,jyun4-loi4,hai6,zan1,gaa3-wo3,#,#,jau6-bin1,gaak3-lei4,baan1,tung4-hok6,waa6,#,#,lou5-lou5-si1,jiu3,zau2,laa3,#,jau5-di1,m4-se2-dak1,aa3,#,#,can4-hoi2-kei4,jiu4,haa5,go3,tau4,#,soeng2,zoeng1,jau4,cin4-hau6-zo2-jau6,cyun4,lei4,ge3,sing1-jam1,gaak3-hoi1,heoi3,#,hou2-hou2,teng1,cing1-co2,lou5-lou5-si1,tau3-gwo3,kwong3-jam1-hei3,cyun4,lei4,ge3,syut3-waa6,#,lou5-lou5-si1,ge3,sing1-jam1,bei2,ping4-si4,gang3,dai1-cam4,gang3,mung4-lung4,#,#,hou2,gou1-hing3,jau5,gei1-wui6,tung4,nei5-dei6,jat1-cai4,hok6-zaap6,#,ngo5,wai6,nei5-dei6,gam2-dou3,hou2,zi6-hou4,#,faan1-heoi3,zi1-hau6,#,ngo5,wui5,zoeng1,ngo5,ni1,saam1,go3-jyut6,ge3,gun1-caat3,se2-dai1,#,jin4-gau3,jat1-haa5,deoi3,nei5-dei6,lei4-gong2,#,mat1-je5,sin1,syun3,hai6,zeoi3-hou2,ge3,hok6-zaap6,#,#
morning assembly,(linker),time,#,Chan Hoi Kei,again,stand,at,queue,centre,ponder deeply,#,focus,right here,think,make,Mr. Lo,memorise,she,(measure),name,(linker),method,#,then,#,she,by,schoolmate,collective,(linker),talking,sound,bring,back,back here,morning assembly,there,#,back,side,have,people,say,#,#,told you,Mr. Lo,is,we,’s,school chancellor,(particle),(particle),#,#,left side,(linker),then,respond,to say,#,#,it turns out,is,true,(particle),#,#,right side,neighbouring,class,schoolmate,say,#,#,Mr. Lo,have to,leave,(particle),#,a bit,unwilling to part with,(particle),#,#,Chan Hoi Kei,shake,a bit,(measure),head,#,want to,take,by,"front, back, left and right",pass,to here,(linker),sound,isolate,away,#,well,listen,clear,Mr. Lo,through,amplifier,pass,to here,(linker),speech,#,Mr. Lo,(linker),voice,compared to,usual,even more,deep and low,even more,blurry,#,#,very,happy,have,opportunity,with,you (plural),together,learn,#,I,for,you (plural),feel,very,proud,#,go back,after,#,I,will,take,I,this,three,month(s),(linker),observation,write down,#,study,a bit,for,you (plural),speaking,#,what,then,be considered,is,best,(linker),learning,#,#
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
