[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
植物,王國,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zik6-mat6,wong4-gwok3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽咪,話,只要,種,多啲,樹,，,樹,王國,就,會,畀,張,入場券,你,入去,睇下,佢哋,嘅,世界,。,媽咪,話,入面,有,好多,識,行,嘅,樹,，,啲,河,水,仲,識,唱歌,，,周圍,都,充滿,歡笑,聲,。,我,細細個,就,聽到,入晒迷,，,如果,我,爬,上,一,樖,識,行,嘅,樹,，,噉,佢,咪,可以,帶,我,周圍,去,？,哈哈,，,人哋,騎,馬,，,我,就,騎,樹,，,諗起,都,興奮,……
gwok3-wong4,nei1-go3,si4-hau6,sin1,toi4-hei2,tau4,#,keoi5,mong6,zyu6,ngo5,waa6,#,#,bat1-gwo3,nei5,jat1-go3-jan4,ge3,lik6-loeng6,gam3,siu2,#,dak1-go2,sap6,po1,syu6,jau5,me1,jung6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
king,this one,time,then,lift up,head,#,he,stare,-ing,I,say,#,#,however,you,alone,’s,power,so,little,#,only those,ten,(measure),tree,have,what,use,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,人類,嘅,力量,貴,在,可以,互相,感染,，,每,個人,十,樖,十,樖,噉,種,，,數量,唔,可以,睇小,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jan4-leoi6,ge3,lik6-loeng6,gwai3,zoi6,ho2-ji5,wu6-soeng1,gam2-jim5,#,mui5,go3-jan4,sap6,po1,sap6,po1,gam2,zung6,#,sou3-loeng6,m4,ho2-ji5,tai2-siu2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,human beings,’s,power,worthy,at,can,each other,influence,#,every,individual,ten,(measure),ten,(measure),in that way,plant,#,quantity,not,can,underestimate,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聽,完,我,呢,番,話,，,國王,慢慢,由,藍色,變成,綠色,——,佢,見到,希望,喇,！,成,個,國家,嘅,藍色,都,即刻,換,返,做,唔同,嘅,顏色,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teng1,jyun4,ngo5,nei1,faan1,waa6,#,gwok3-wong4,maan6-maan2,jau4,laam4-sik1,bin3-sing4,luk6-sik1,#,keoi5,gin3-dou2,hei1-mong6,laa3,#,seng4,go3,gwok3-gaa1,ge3,laam4-sik1,dou1,zik1-hak1,wun6,faan1,zou6,m4-tung4,ge3,ngaan4-sik1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hear,finish,I,this,(measure),saying,#,king,slowly,from,blue,become,green,#,he,saw,hope,(particle),#,whole,(measure),country,(linker),blue,"all, also",immediately,change,back,to,different,(linker),colour,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
葉仔,開心,到,跳跳紥紥,噉,帶,我,喺,王國,周圍,行,，,我哋,去,睇,植物,市集,、,花,花,雜技,、,拔,草,大賽,……,哇,，,原來,植物,王國,有,咁,多,嘢,玩,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jip6-zai2,hoi1-sam1,dou3,tiu3-tiu3-zaat3-zaat3,gam2,daai3,ngo5,hai2,wong4-gwok3,zau1-wai4,haang4,#,ngo5-dei6,heoi3,tai2,zik6-mat6,si5-zaap6,#,faa1,faa1,zaap6-gei6,#,bat6,cou2,daai6-coi3,#,waa1,#,jyun4-loi4,zik6-mat6,wong4-gwok3,jau5,gam3,do1,je5,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little leaf,happy,till,jumping around lively,-ly,bring,I,at,kingdom,around,to walk,#,we,go,to look,plant,market,#,flower,flower,acrobatics,#,pull out,grass,contest,#,wow,#,it turns out,plant,kingdom,have,so,many,thing,to play,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正當,我,行,得,越嚟越,興奮,，,突然,有,一,粒,石,仔,撠,到,我,向,前,一,仆,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zing3-dong1,ngo5,haang4,dak1,jyut6-lai4-jyut6,hing1-fan5,#,dat6-jin4,jau5,jat1,nap1,sek6,zai2,kik1,dou2,ngo5,hoeng3,cin4,jat1,puk1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just the time,I,walk,(suffix),more and more,excited,#,suddenly,have,one,(measure),stone,little,trip over,to,I,towards,front,one,fall off,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咯咯,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gok4-gok4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(sound),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,擘,大,眼,，,望到,俾,風,吹,咗,兩下,嘅,玻璃,窗,，,窗,邊,有,一塊,綠葉,。,我,拎,喺,手,，,笑,咗,笑,。,我,又,點,會,唔記得,今日,係,種,樹,嘅,大日子,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,maak3,daai6,ngaan5,#,mong6-dou2,bei2,fung1,ceoi1,zo2,loeng5-haa5,ge3,bo1-lei1,coeng1,#,coeng1,bin1,jau5,jat1-faai3,luk6-jip6,#,ngo5,ling1,hai2,sau2,#,siu3,zo2,siu3,#,ngo5,jau6,dim2,wui5,m4-gei3-dak1,gam1-jat6,hai6,zung6,syu6,ge3,daai6-jat6-zi2,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,open,big,eye,#,saw,by,wind,blow,-en,twice,(linker),glass,window,#,window,side,have,a piece of,green leaf,#,I,take,at,hand,#,smile,-en,smile,#,I,again,how,will,forget,today,is,plant,tree,(linker),big day,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
