I,seem,understand,not,understand,-ly,staring,Mama,#,she,then say,#,#,which,just like,we,today,come,to,Disney,#,you,will,hope,how to,pass,at,here,(linker),time,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,希望,同,媽媽,開開心心,噉,過,！,」,我,諗,都,唔,諗,就,脫口而出,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,hei1-mong6,tung4,maa4-maa1,hoi1-hoi1-sam1-sam1,gam2,gwo3,#,#,ngo5,nam2,dou1,m4,nam2,zau6,tyut3-hau2-ji4-ceot1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,hope,with,Mama,happy,-ly,pass,#,#,I,think,"all, also",not,think,then,speak impromptu,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,語,帶,安慰,噉,話,：,「,係,哩,？,但係,你,掛住,睇,手錶,嘅話,，,就,會,錯過,晒,啲,美好,時光,㗎喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,jyu5,daai3,on1-wai3,gam2,waa6,#,#,hai6,le2,#,daan6-hai6,nei5,gwaa3-zyu6,tai2,sau2-biu1,ge3-waa6,#,zau6,wui5,co3-gwo3,saai3,di1,mei5-hou2,si4-gwong1,gaa3-laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mama,words,carry,comfort,that way,say,#,#,right,(particle),#,but,you,focus on,look,wristwatch,if,#,then,will,miss,all,those,fine,time,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,噉,……,冇,咩事,我,都係,返去,繼續,玩,喇,！,」,我,一,支,箭,噉,跑,走,——,天,底下,竟然,有,咁,正,嘅,時光,，,我,當然,要,好好,把握,啦,，,嘻,嘻,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam2,#,mou5,me1-si6,ngo5,dou1-hai6,faan1-heoi3,gai3-zuk6,waan2,laa3,#,#,ngo5,jat1,zi1,zin3,gam2,paau2,zau2,#,tin1,dai2-haa6,ging2-jin4,jau5,gam3,zeng3,ge3,si4-gwong1,#,ngo5,dong1-jin4,jiu3,hou2-hou2,baa2-ak1,laa1,#,hi1,hi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,so,#,don't have,any matter,I,also is,go back,continue,to play,(particle),#,#,I,one,(measure),arrow,that way,run,away,#,sky,under,to one's surprise,have,so,wonderful,(linker),time,#,I,certainly,have to,well,cherish,(particle),#,hehe,hehe,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
