#,jyu4-gwo2,ho2-ji5,bong1,dou2,daai6-gaa1,ge3-waa2,#,ngo5,jyun6-ji3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,if,can,help,(suffix),everyone,then,#,I,willing,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心兒,一,講,完,呢,句,，,班上,即刻,掌聲雷動,。,睇嚟,受,過,心兒,幫助,嘅,人,唔只,我,一個,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sam1-ji4,jat1,gong2,jyun4,nei1,geoi3,#,baan1-soeng6,zik1-hak1,zoeng2-sing1-leoi4-dung6,#,tai2-lei4,sau6,gwo3,sam1-ji4,bong1-zo6,ge3,jan4,m4-zi2,ngo5,jat1-go3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammy,once,say,finish,this,sentence,#,in this class,immediately,loud applause,#,seems,receive,-ed,Sammy,help,(linker),people,not only,I,one (measure),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後,，,老師,叫,大家,投票,。,結果,幾乎,全,班,都,投,心兒,一,票,，,佢,就,成為,咗,我哋,嘅,班長,喇,！,我,相信,，,佢,一定,會,係,個,好,班長,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeoi3-hau6,#,lou5-si1,giu3,daai6-gaa1,tau4-piu3,#,git3-gwo2,gei1-fu4,cyun4,baan1,dou1,tau4,sam1-ji4,jat1,piu3,#,keoi5,zau6,sing4-wai4,zo2,ngo5-dei6,ge3,baan1-zoeng2,laa3,#,ngo5,soeng1-seon3,#,keoi5,jat1-ding6,wui5,hai6,go3,hou2,baan1-zoeng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the end,#,teacher,ask,everyone,to vote,#,result,almost,whole,class,"all, also",vote,Sammy,one,vote,#,she,then,become,-en,we,’s,monitress,(particle),#,I,believe,#,she,surely,will,be,(measure),good,monitress,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
