[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,今年,幾,歲,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,gam1-nin2,gei2,seoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandmother,this year,how,old,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,一,個,休閒,嘅,周末,，,大部分,都市,人,仲,瞓,緊,嗰陣,，,有,兩,個,人,好,早,已經,起,咗,身,同,陽光,玩,遊戲,，,佢哋,就係,Putta,同,Putti,。,佢哋,知道,今日,係,婆婆,生日,，,於是,準備,咗,蛋糕,同,佢,慶祝,。,個,蛋糕,雖然,好,靚,，,但,就,係,少,咗,啲,嘢,——,冇錯,，,就係,蠟燭,！,但,究竟,要,插,幾多,枝,蠟燭,至,啱,呢,？,似乎,冇人,知道,婆婆,幾多歲,喎,……
婆婆,露,出,欣慰,嘅,笑容,，,繼續,講,：,「,對,婆婆,嚟講,，,生日,嘅,重點,唔係,我,，,而,係,同,邊個,過,，,同埋,有冇,人,在乎,。,所以,你哋,插,幾多,枝,蠟燭,都,唔緊要,，,最,緊要,係,每,一,年,都,有,你,兩,個,陪,我,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po4-po2,lou6,ceot1,jan1-wai3,ge3,siu3-jung4,#,gai3-zuk6,gong2,#,#,deoi3,po4-po2,lai4-gong2,#,saang1-jat6,ge3,zung6-dim2,m4-hai6,ngo5,#,ji4,hai6,tung4,bin1-go3,gwo3,#,tung4-maai4,jau5-mou5,jan4,zoi6-fu4,#,so2-ji5,nei5-dei6,caap3,gei2-do1,zi1,laap6-zuk1,dou1,m4-gan2-jiu3,#,zeoi3,gan2-jiu3,hai6,mui5,jat1,nin4,dou1,jau5,nei5,loeng5,go3,pui4,ngo5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandmother,reveal,out,gratify,(linker),smile,#,continue,to say,#,#,towards,grandmother,point of view,#,birthday,(linker),main point,is not,I,#,and,is,with,whom,to pass,#,and ,have or haven't,people,care,#,therefore,you (plural),insert,how many,(measure),candle,"all, also",doesn't matter,#,most,important,is,every,one,year,"all, also",have,you,two,(measure),accompany,I,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,同,Putti,聽,完,之後,，,先,發現,自己,捉錯用神,。,既然,對,佢哋,嚟講,，,生日,嘅,重點,係,婆婆,，,噉,梗係,婆婆,開心,最,緊要,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,tung4,Putti,teng1,jyun4,zi1-hau6,#,sin1,faat3-jin6,zi6-gei2,zuk1-co3-jung6-san4,#,gei3-jin4,deoi3,keoi5-dei6,lai4-gong2,#,saang1-jat6,ge3,zung6-dim2,hai6,po4-po2,#,gam2,gang2-hai6,po4-po2,hoi1-sam1,zeoi3,gan2-jiu3,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putta,and,Putti,listen,finish,after,#,then,find out,oneself,misplace the focus,#,now that,towards,they,point of view,#,birthday,(linker),main point,is,grandmother,#,then,of course,grandmother,happy,most,important,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,外面,有,人,敲門,，,原來,係,媽媽,同,鄰居,查理,婆婆,。,有,咁,多,人,同,婆婆,慶祝,，,呢個,生日,一定,令,佢,好,難忘,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,ngoi6-min6,jau5,jan4,haau1-mun4,#,jyun4-loi4,hai6,maa4-maa1,tung4,leon4-geoi1,caa4-lei5,po4-po2,#,jau5,gam3,do1,jan4,tung4,po4-po2,hing3-zuk1,#,nei1-go3,saang1-jat6,jat1-ding6,ling6,keoi5,hou2,naan4-mong4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this one,time,#,outside,have,people,knock the door,#,it turns out,is,mother,and,neighbour,Chanda,granny,#,have,so,many,people,with,grandmother,celebrate,#,this,birthday,surely,make,she,very,unforgettable,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
